Tipo,Nombre,Ciudad,Estado,Latitud,Longitud
Aeropuerto,Aeropuerto Internacional de Tampico,Tampico,Tamaulipas,22.2964,-97.8647
Aeropuerto,Aeropuerto Internacional de Torreón,Torreón,Coahuila,25.5681,-103.4106
Aeropuerto,Aeropuerto Internacional de Toluca,Toluca,Estado de México,19.3372,-99.5661
Aeropuerto,Aeropuerto Internacional de Querétaro,Colón,Querétaro,20.6172,-100.1856
Aeropuerto,Aeropuerto Internacional de Cozumel,Cozumel,Quintana Roo,20.5153,-86.9253
Aeropuerto,Aeropuerto Internacional de Morelia,Álvaro Obregón,Michoacán,19.8497,-101.0244
Aeropuerto,Aeropuerto Internacional de Aguascalientes,Aguascalientes,Aguascalientes,21.7056,-102.3178
Aeropuerto,Aeropuerto Internacional de San Luis Potosí,San Luis Potosí,San Luis Potosí,22.2542,-100.9308
Aeropuerto,Aeropuerto Internacional de Puebla,Huejotzingo,Puebla,19.1581,-98.3717
Aeropuerto,Aeropuerto Internacional de Mexicali,Mexicali,Baja California,32.6306,-115.2417
Aeropuerto,Aeropuerto Internacional de La Paz,La Paz,Baja California Sur,24.0728,-110.3625
Aeropuerto,Aeropuerto Internacional de Manzanillo,Manzanillo,Colima,19.1444,-104.5589
Aeropuerto,Aeropuerto Internacional de Minatitlán,Cosoleacaque,Veracruz,18.1025,-94.5808
Aeropuerto,Aeropuerto Internacional de Tapachula,Tapachula,Chiapas,14.7942,-92.3700
Aeropuerto,Aeropuerto Internacional de Chetumal,Chetumal,Quintana Roo,18.5047,-88.3267
Aeropuerto,Aeropuerto Internacional de Tulum,Felipe Carrillo Puerto,Quintana Roo,20.1603,-87.6653
Aeropuerto,Aeropuerto Internacional de Puerto Escondido,Puerto Escondido,Oaxaca,15.8767,-97.0886
Aeropuerto,Aeropuerto Internacional de Durango,Durango,Durango,24.1242,-104.5283
Aeropuerto,Aeropuerto Internacional de Zacatecas,Calera,Zacatecas,22.8969,-102.6869
Aeropuerto,Aeropuerto Internacional de Uruapan,Uruapan,Michoacán,19.3967,-102.0392
Aeropuerto,Aeropuerto Internacional de Colima,Cuauhtémoc,Colima,19.2764,-103.5772
Aeropuerto,Aeropuerto Internacional de Tepic,Tepic,Nayarit,21.4194,-104.8425
